,G
2018-01-09 06:32:00,15214.6439913
2018-01-09 06:33:00,15214.6439913
2018-01-09 06:34:00,15214.6439913
2018-01-09 06:35:00,15214.6439913
2018-01-09 06:36:00,15214.6439913
2018-01-09 06:37:00,15214.6439913
2018-01-09 06:38:00,15214.6439913
2018-01-09 06:39:00,15214.6439913
2018-01-09 06:40:00,15214.6439913
2018-01-09 06:41:00,15214.6439913
2018-01-09 06:42:00,15214.6439913
2018-01-09 06:43:00,15214.6439913
2018-01-09 06:44:00,15214.6439913
2018-01-09 06:45:00,15214.6439913
2018-01-09 06:46:00,15214.6439913
2018-01-09 06:47:00,15214.6439913
2018-01-09 06:48:00,15214.6439913
2018-01-09 06:49:00,15214.6439913
2018-01-09 06:50:00,15214.6439913
2018-01-09 06:51:00,15214.6439913
2018-01-09 06:52:00,15214.6439913
2018-01-09 06:53:00,15214.6439913
2018-01-09 06:54:00,15214.6439913
2018-01-09 06:55:00,15214.6439913
2018-01-09 06:56:00,15214.6439913
2018-01-09 06:57:00,15214.6439913
2018-01-09 06:58:00,15214.6439913
2018-01-09 06:59:00,15161.5922913
2018-01-09 07:00:00,15214.6439913
2018-01-09 07:01:00,15214.6439913
2018-01-09 07:02:00,15214.6439913
2018-01-09 07:03:00,15214.6439913
2018-01-09 07:04:00,15214.6439913
2018-01-09 07:05:00,15161.5922913
2018-01-09 07:06:00,15214.6439913
2018-01-09 07:07:00,15214.6439913
2018-01-09 07:08:00,15214.6439913
2018-01-09 07:09:00,15161.5922913
2018-01-09 07:10:00,15214.6439913
2018-01-09 07:11:00,15161.5922913
2018-01-09 07:12:00,15161.5922913
2018-01-09 07:13:00,15161.5922913
2018-01-09 07:14:00,15161.5922913
2018-01-09 07:15:00,15161.5922913
2018-01-09 07:16:00,15161.5922913
2018-01-09 07:17:00,15161.5922913
2018-01-09 07:18:00,15161.5922913
2018-01-09 07:19:00,15214.6439913
2018-01-09 07:20:00,15214.6439913
2018-01-09 07:21:00,15161.5922913
2018-01-09 07:22:00,15161.5922913
2018-01-09 07:23:00,15161.5922913
