,PA
2018-07-16 23:06:00,8313.6042076
2018-07-16 23:07:00,8311.6942076
2018-07-16 23:08:00,8311.6942076
2018-07-16 23:09:00,8311.6942076
2018-07-16 23:10:00,8313.6042076
2018-07-16 23:11:00,8313.6042076
2018-07-16 23:12:00,8318.3792076
2018-07-16 23:13:00,8318.3792076
2018-07-16 23:14:00,8318.3792076
2018-07-16 23:15:00,8318.3792076
2018-07-16 23:16:00,8317.4242076
2018-07-16 23:17:00,8318.3792076
2018-07-16 23:18:00,8320.2892076
2018-07-16 23:19:00,8320.2892076
2018-07-16 23:20:00,8323.1542076
2018-07-16 23:21:00,8320.2892076
2018-07-16 23:22:00,8319.3342076
2018-07-16 23:23:00,8316.4692076
2018-07-16 23:24:00,8316.4692076
2018-07-16 23:25:00,8316.4692076
2018-07-16 23:26:00,8316.4692076
2018-07-16 23:27:00,8316.4692076
2018-07-16 23:28:00,8317.4242076
2018-07-16 23:29:00,8318.3792076
2018-07-16 23:30:00,8318.3792076
2018-07-16 23:31:00,8321.2442076
2018-07-16 23:32:00,8315.5142076
2018-07-16 23:33:00,8315.5142076
2018-07-16 23:34:00,8316.4692076
2018-07-16 23:35:00,8316.4692076
2018-07-16 23:36:00,8316.4692076
2018-07-16 23:37:00,8327.9292076
2018-07-16 23:38:00,8318.3792076
2018-07-16 23:39:00,8318.3792076
2018-07-16 23:40:00,8318.3792076
2018-07-16 23:41:00,8318.3792076
2018-07-16 23:42:00,8320.2892076
2018-07-16 23:43:00,8321.2442076
2018-07-16 23:44:00,8320.2892076
2018-07-16 23:45:00,8321.2442076
2018-07-16 23:46:00,8321.2442076
2018-07-16 23:47:00,8321.2442076
2018-07-16 23:48:00,8321.2442076
2018-07-16 23:49:00,8321.2442076
2018-07-16 23:50:00,8321.2442076
2018-07-16 23:51:00,8321.2442076
2018-07-16 23:52:00,8321.2442076
2018-07-16 23:53:00,8315.5142076
2018-07-16 23:54:00,8310.7392076
2018-07-16 23:55:00,8310.7392076
2018-07-16 23:56:00,8307.8742076
2018-07-16 23:57:00,8307.8742076
2018-07-16 23:58:00,8307.8742076
2018-07-16 23:59:00,8307.8742076
2018-07-17 00:00:00,8307.8742076
2018-07-17 00:01:00,8305.0092076
2018-07-17 00:02:00,8305.0092076
2018-07-17 00:03:00,8303.0992076
2018-07-17 00:04:00,8302.1442076
2018-07-17 00:05:00,8310.7392076
2018-07-17 00:06:00,8310.7392076
2018-07-17 00:07:00,8310.7392076
2018-07-17 00:08:00,8307.8742076
2018-07-17 00:09:00,8301.1892076
2018-07-17 00:10:00,8301.1892076
2018-07-17 00:11:00,8301.1892076
2018-07-17 00:12:00,8307.8742076
2018-07-17 00:13:00,8307.8742076
2018-07-17 00:14:00,8307.8742076
2018-07-17 00:15:00,8307.8742076
2018-07-17 00:16:00,8307.8742076
2018-07-17 00:17:00,8307.8742076
2018-07-17 00:18:00,8307.8742076
2018-07-17 00:19:00,8307.8742076
2018-07-17 00:20:00,8307.8742076
2018-07-17 00:21:00,8307.8742076
2018-07-17 00:22:00,8307.8742076
2018-07-17 00:23:00,8307.8742076
2018-07-17 00:24:00,8307.8742076
2018-07-17 00:25:00,8307.8742076
2018-07-17 00:26:00,8307.8742076
2018-07-17 00:27:00,8307.8742076
2018-07-17 00:28:00,8306.9192076
2018-07-17 00:29:00,8306.9192076
2018-07-17 00:30:00,8306.9192076
2018-07-17 00:31:00,8306.9192076
2018-07-17 00:32:00,8306.9192076
2018-07-17 00:33:00,8305.9642076
2018-07-17 00:34:00,8289.7292076
2018-07-17 00:35:00,8286.8642076
2018-07-17 00:36:00,8286.8642076
2018-07-17 00:37:00,8282.0892076
2018-07-17 00:38:00,8281.1342076
2018-07-17 00:39:00,8281.1342076
2018-07-17 00:40:00,8282.0892076
2018-07-17 00:41:00,8281.1342076
2018-07-17 00:42:00,8281.1342076
2018-07-17 00:43:00,8281.1342076
2018-07-17 00:44:00,8281.1342076
2018-07-17 00:45:00,8282.0892076
2018-07-17 00:46:00,8276.3592076
2018-07-17 00:47:00,8276.3592076
2018-07-17 00:48:00,8276.3592076
2018-07-17 00:49:00,8276.3592076
2018-07-17 00:50:00,8276.3592076
2018-07-17 00:51:00,8274.4492076
2018-07-17 00:52:00,8277.3142076
2018-07-17 00:53:00,8276.3592076
2018-07-17 00:54:00,8277.3142076
2018-07-17 00:55:00,8288.7742076
2018-07-17 00:56:00,8285.9092076
2018-07-17 00:57:00,8289.7292076
2018-07-17 00:58:00,8289.7292076
2018-07-17 00:59:00,8289.7292076
2018-07-17 01:00:00,8284.9542076
2018-07-17 01:01:00,8282.0892076
2018-07-17 01:02:00,8278.2692076
2018-07-17 01:03:00,8282.0892076
2018-07-17 01:04:00,8283.9992076
2018-07-17 01:05:00,8283.9992076
2018-07-17 01:06:00,8279.2242076
2018-07-17 01:07:00,8278.2692076
2018-07-17 01:08:00,8278.2692076
2018-07-17 01:09:00,8278.2692076
2018-07-17 01:10:00,8278.2692076
2018-07-17 01:11:00,8278.2692076
2018-07-17 01:12:00,8279.2242076
2018-07-17 01:13:00,8281.1342076
2018-07-17 01:14:00,8287.8192076
2018-07-17 01:15:00,8287.8192076
2018-07-17 01:16:00,8273.4942076
2018-07-17 01:17:00,8274.4492076
2018-07-17 01:18:00,8277.3142076
2018-07-17 01:19:00,8277.3142076
2018-07-17 01:20:00,8277.3142076
2018-07-17 01:21:00,8277.3142076
2018-07-17 01:22:00,8306.9192076
2018-07-17 01:23:00,8293.5492076
2018-07-17 01:24:00,8293.5492076
2018-07-17 01:25:00,8290.6842076
2018-07-17 01:26:00,8294.5042076
2018-07-17 01:27:00,8295.4592076
2018-07-17 01:28:00,8298.3242076
2018-07-17 01:29:00,8294.5042076
2018-07-17 01:30:00,8293.5492076
2018-07-17 01:31:00,8294.5042076
2018-07-17 01:32:00,8294.5042076
2018-07-17 01:33:00,8283.9992076
2018-07-17 01:34:00,8283.9992076
2018-07-17 01:35:00,8283.9992076
2018-07-17 01:36:00,8283.9992076
2018-07-17 01:37:00,8283.0442076
2018-07-17 01:38:00,8280.1792076
2018-07-17 01:39:00,8281.1342076
2018-07-17 01:40:00,8279.2242076
2018-07-17 01:41:00,8279.2242076
2018-07-17 01:42:00,8277.3142076
2018-07-17 01:43:00,8278.2692076
2018-07-17 01:44:00,8279.2242076
2018-07-17 01:45:00,8279.2242076
2018-07-17 01:46:00,8279.2242076
2018-07-17 01:47:00,8279.2242076
2018-07-17 01:48:00,8280.1792076
2018-07-17 01:49:00,8276.3592076
2018-07-17 01:50:00,8282.0892076
2018-07-17 01:51:00,8289.7292076
2018-07-17 01:52:00,8308.8292076
2018-07-17 01:53:00,8312.6492076
2018-07-17 01:54:00,8312.6492076
2018-07-17 01:55:00,8315.5142076
2018-07-17 01:56:00,8316.4692076
2018-07-17 01:57:00,8316.4692076
2018-07-17 01:58:00,8316.4692076
2018-07-17 01:59:00,8316.4692076
2018-07-17 02:00:00,8310.7392076
2018-07-17 02:01:00,8308.8292076
2018-07-17 02:02:00,8308.8292076
2018-07-17 02:03:00,8286.8642076
2018-07-17 02:04:00,8279.2242076
2018-07-17 02:05:00,8281.1342076
2018-07-17 02:06:00,8281.1342076
2018-07-17 02:07:00,8274.4492076
2018-07-17 02:08:00,8278.2692076
2018-07-17 02:09:00,8281.1342076
2018-07-17 02:10:00,8278.2692076
2018-07-17 02:11:00,8275.4042076
2018-07-17 02:12:00,8275.4042076
2018-07-17 02:13:00,8276.3592076
2018-07-17 02:14:00,8271.5842076
2018-07-17 02:15:00,8269.6742076
2018-07-17 02:16:00,8266.8092076
2018-07-17 02:17:00,8262.0342076
2018-07-17 02:18:00,8262.0342076
2018-07-17 02:19:00,8262.0342076
2018-07-17 02:20:00,8262.9892076
2018-07-17 02:21:00,8256.3042076
2018-07-17 02:22:00,8256.3042076
2018-07-17 02:23:00,8260.1242076
2018-07-17 02:24:00,8262.0342076
2018-07-17 02:25:00,8250.5742076
2018-07-17 02:26:00,8246.7542076
2018-07-17 02:27:00,8240.0692076
2018-07-17 02:28:00,8239.1142076
2018-07-17 02:29:00,8241.0242076
2018-07-17 02:30:00,8235.2942076
2018-07-17 02:31:00,8234.3392076
2018-07-17 02:32:00,8235.2942076
