,VX3-VX1
2018-09-10 21:31:00,1422.45168
2018-09-10 21:32:00,1422.45168
2018-09-10 21:33:00,1422.45168
2018-09-10 21:34:00,1422.45168
2018-09-10 21:35:00,1422.45168
2018-09-10 21:36:00,1422.45168
2018-09-10 21:37:00,1422.45168
2018-09-10 21:38:00,1422.45168
2018-09-10 21:39:00,1422.45168
2018-09-10 21:40:00,1422.45168
2018-09-10 21:41:00,1422.45168
2018-09-10 21:42:00,1422.45168
2018-09-10 21:43:00,1422.45168
2018-09-10 21:44:00,1422.45168
2018-09-10 21:45:00,1422.45168
2018-09-10 21:46:00,1422.45168
2018-09-10 21:47:00,1422.45168
2018-09-10 21:48:00,1422.45168
2018-09-10 21:49:00,1422.45168
2018-09-10 21:50:00,1422.45168
2018-09-10 21:51:00,1417.57168
2018-09-10 21:52:00,1417.57168
2018-09-10 21:53:00,1402.93168
2018-09-10 21:54:00,1402.93168
2018-09-10 21:55:00,1402.93168
2018-09-10 21:56:00,1402.93168
2018-09-10 21:57:00,1402.93168
2018-09-10 21:58:00,1402.93168
2018-09-10 21:59:00,1402.93168
2018-09-10 22:00:00,1402.93168
2018-09-10 22:01:00,1402.93168
2018-09-10 22:02:00,1402.93168
2018-09-10 22:03:00,1402.93168
2018-09-10 22:04:00,1402.93168
2018-09-10 22:05:00,1402.93168
2018-09-10 22:06:00,1402.93168
2018-09-10 22:07:00,1402.93168
2018-09-10 22:08:00,1402.93168
2018-09-10 22:09:00,1402.93168
2018-09-10 22:10:00,1412.69168
2018-09-10 22:11:00,1417.57168
2018-09-10 22:12:00,1417.57168
2018-09-10 22:13:00,1417.57168
2018-09-10 22:14:00,1422.45168
2018-09-10 22:15:00,1422.45168
2018-09-10 22:16:00,1422.45168
2018-09-10 22:17:00,1422.45168
2018-09-10 22:18:00,1422.45168
2018-09-10 22:19:00,1427.33168
2018-09-10 22:20:00,1427.33168
2018-09-10 22:21:00,1427.33168
2018-09-10 22:22:00,1427.33168
2018-09-10 22:23:00,1427.33168
2018-09-10 22:24:00,1427.33168
2018-09-10 22:25:00,1427.33168
2018-09-10 22:26:00,1427.33168
2018-09-10 22:27:00,1427.33168
2018-09-10 22:28:00,1427.33168
2018-09-10 22:29:00,1427.33168
2018-09-10 22:30:00,1427.33168
2018-09-10 22:31:00,1427.33168
2018-09-10 22:32:00,1427.33168
2018-09-10 22:33:00,1427.33168
2018-09-10 22:34:00,1427.33168
2018-09-10 22:35:00,1427.33168
2018-09-10 22:36:00,1427.33168
2018-09-10 22:37:00,1427.33168
2018-09-10 22:38:00,1427.33168
2018-09-10 22:39:00,1427.33168
2018-09-10 22:40:00,1427.33168
