,L_RED
2018-08-29 04:17:00,237.87612594
2018-08-29 04:18:00,226.864321159
2018-08-29 04:19:00,226.864321159
2018-08-29 04:20:00,226.864321159
2018-08-29 04:21:00,204.840711596
2018-08-29 04:22:00,204.840711596
2018-08-29 04:23:00,226.864321159
2018-08-29 04:24:00,226.864321159
2018-08-29 04:25:00,226.864321159
2018-08-29 04:26:00,226.864321159
2018-08-29 04:27:00,226.864321159
2018-08-29 04:28:00,226.864321159
2018-08-29 04:29:00,226.864321159
2018-08-29 04:30:00,226.864321159
2018-08-29 04:31:00,226.864321159
2018-08-29 04:32:00,226.864321159
2018-08-29 04:33:00,226.864321159
2018-08-29 04:34:00,226.864321159
2018-08-29 04:35:00,226.864321159
2018-08-29 04:36:00,226.864321159
2018-08-29 04:37:00,226.864321159
2018-08-29 04:38:00,226.864321159
2018-08-29 04:39:00,226.864321159
2018-08-29 04:40:00,226.864321159
2018-08-29 04:41:00,226.864321159
2018-08-29 04:42:00,226.864321159
2018-08-29 04:43:00,226.864321159
2018-08-29 04:44:00,226.864321159
2018-08-29 04:45:00,226.864321159
2018-08-29 04:46:00,226.864321159
2018-08-29 04:47:00,226.864321159
2018-08-29 04:48:00,226.864321159
2018-08-29 04:49:00,226.864321159
2018-08-29 04:50:00,226.864321159
2018-08-29 04:51:00,226.864321159
2018-08-29 04:52:00,226.864321159
2018-08-29 04:53:00,226.864321159
2018-08-29 04:54:00,226.864321159
2018-08-29 04:55:00,226.864321159
2018-08-29 04:56:00,226.864321159
2018-08-29 04:57:00,226.864321159
2018-08-29 04:58:00,204.840711596
2018-08-29 04:59:00,204.840711596
2018-08-29 05:00:00,204.840711596
2018-08-29 05:01:00,204.840711596
2018-08-29 05:02:00,204.840711596
2018-08-29 05:03:00,204.840711596
2018-08-29 05:04:00,204.840711596
2018-08-29 05:05:00,204.840711596
2018-08-29 05:06:00,204.840711596
2018-08-29 05:07:00,204.840711596
2018-08-29 05:08:00,204.840711596
2018-08-29 05:09:00,204.840711596
2018-08-29 05:10:00,204.840711596
2018-08-29 05:11:00,204.840711596
2018-08-29 05:12:00,204.840711596
2018-08-29 05:13:00,204.840711596
2018-08-29 05:14:00,204.840711596
2018-08-29 05:15:00,204.840711596
2018-08-29 05:16:00,204.840711596
2018-08-29 05:17:00,204.840711596
2018-08-29 05:18:00,215.852516378
2018-08-29 05:19:00,226.864321159
2018-08-29 05:20:00,226.864321159
2018-08-29 05:21:00,226.864321159
2018-08-29 05:22:00,226.864321159
2018-08-29 05:23:00,226.864321159
2018-08-29 05:24:00,226.864321159
2018-08-29 05:25:00,226.864321159
2018-08-29 05:26:00,226.864321159
2018-08-29 05:27:00,226.864321159
2018-08-29 05:28:00,226.864321159
2018-08-29 05:29:00,226.864321159
2018-08-29 05:30:00,226.864321159
2018-08-29 05:31:00,226.864321159
2018-08-29 05:32:00,226.864321159
2018-08-29 05:33:00,226.864321159
2018-08-29 05:34:00,226.864321159
2018-08-29 05:35:00,215.852516378
2018-08-29 05:36:00,215.852516378
2018-08-29 05:37:00,215.852516378
2018-08-29 05:38:00,215.852516378
2018-08-29 05:39:00,215.852516378
2018-08-29 05:40:00,215.852516378
2018-08-29 05:41:00,226.864321159
2018-08-29 05:42:00,226.864321159
2018-08-29 05:43:00,226.864321159
2018-08-29 05:44:00,226.864321159
2018-08-29 05:45:00,226.864321159
2018-08-29 05:46:00,226.864321159
2018-08-29 05:47:00,226.864321159
2018-08-29 05:48:00,226.864321159
2018-08-29 05:49:00,226.864321159
2018-08-29 05:50:00,226.864321159
2018-08-29 05:51:00,226.864321159
2018-08-29 05:52:00,226.864321159
2018-08-29 05:53:00,226.864321159
2018-08-29 05:54:00,226.864321159
2018-08-29 05:55:00,226.864321159
2018-08-29 05:56:00,226.864321159
2018-08-29 05:57:00,226.864321159
2018-08-29 05:58:00,226.864321159
2018-08-29 05:59:00,226.864321159
2018-08-29 06:00:00,226.864321159
2018-08-29 06:01:00,226.864321159
2018-08-29 06:02:00,215.852516378
2018-08-29 06:03:00,215.852516378
2018-08-29 06:04:00,215.852516378
2018-08-29 06:05:00,215.852516378
2018-08-29 06:06:00,215.852516378
2018-08-29 06:07:00,215.852516378
2018-08-29 06:08:00,215.852516378
2018-08-29 06:09:00,215.852516378
2018-08-29 06:10:00,204.840711596
2018-08-29 06:11:00,204.840711596
2018-08-29 06:12:00,204.840711596
2018-08-29 06:13:00,193.828906815
2018-08-29 06:14:00,182.817102034
2018-08-29 06:15:00,182.817102034
2018-08-29 06:16:00,182.817102034
2018-08-29 06:17:00,182.817102034
2018-08-29 06:18:00,182.817102034
2018-08-29 06:19:00,182.817102034
2018-08-29 06:20:00,182.817102034
2018-08-29 06:21:00,182.817102034
2018-08-29 06:22:00,182.817102034
2018-08-29 06:23:00,182.817102034
2018-08-29 06:24:00,182.817102034
2018-08-29 06:25:00,182.817102034
2018-08-29 06:26:00,182.817102034
2018-08-29 06:27:00,182.817102034
2018-08-29 06:28:00,182.817102034
2018-08-29 06:29:00,182.817102034
2018-08-29 06:30:00,171.805297253
2018-08-29 06:31:00,171.805297253
2018-08-29 06:32:00,171.805297253
2018-08-29 06:33:00,182.817102034
2018-08-29 06:34:00,182.817102034
2018-08-29 06:35:00,182.817102034
