,L_GREEN
2018-09-06 07:17:00,588.570364692
2018-09-06 07:18:00,606.10723583
2018-09-06 07:19:00,588.570364692
2018-09-06 07:20:00,579.801929123
2018-09-06 07:21:00,588.570364692
2018-09-06 07:22:00,588.570364692
2018-09-06 07:23:00,614.875671398
2018-09-06 07:24:00,632.412542536
2018-09-06 07:25:00,632.412542536
2018-09-06 07:26:00,632.412542536
2018-09-06 07:27:00,632.412542536
2018-09-06 07:28:00,632.412542536
2018-09-06 07:29:00,623.644106967
2018-09-06 07:30:00,632.412542536
2018-09-06 07:31:00,597.338800261
2018-09-06 07:32:00,623.644106967
2018-09-06 07:33:00,623.644106967
2018-09-06 07:34:00,623.644106967
2018-09-06 07:35:00,632.412542536
2018-09-06 07:36:00,632.412542536
2018-09-06 07:37:00,632.412542536
2018-09-06 07:38:00,632.412542536
2018-09-06 07:39:00,632.412542536
2018-09-06 07:40:00,641.180978105
2018-09-06 07:41:00,641.180978105
2018-09-06 07:42:00,641.180978105
2018-09-06 07:43:00,641.180978105
2018-09-06 07:44:00,641.180978105
2018-09-06 07:45:00,641.180978105
2018-09-06 07:46:00,623.644106967
2018-09-06 07:47:00,623.644106967
2018-09-06 07:48:00,623.644106967
2018-09-06 07:49:00,623.644106967
2018-09-06 07:50:00,623.644106967
2018-09-06 07:51:00,623.644106967
2018-09-06 07:52:00,606.10723583
2018-09-06 07:53:00,597.338800261
2018-09-06 07:54:00,588.570364692
2018-09-06 07:55:00,588.570364692
2018-09-06 07:56:00,588.570364692
2018-09-06 07:57:00,588.570364692
2018-09-06 07:58:00,588.570364692
2018-09-06 07:59:00,588.570364692
2018-09-06 08:00:00,588.570364692
2018-09-06 08:01:00,588.570364692
2018-09-06 08:02:00,588.570364692
2018-09-06 08:03:00,588.570364692
2018-09-06 08:04:00,606.10723583
