,TENS_C6
2018-08-22 14:03:00,5195.975661
2018-08-22 14:04:00,5198.868711
2018-08-22 14:05:00,5197.904361
2018-08-22 14:06:00,5197.422186
2018-08-22 14:07:00,5197.904361
2018-08-22 14:08:00,5198.868711
2018-08-22 14:09:00,5200.797411
2018-08-22 14:10:00,5201.761761
2018-08-22 14:11:00,5203.690461
2018-08-22 14:12:00,5203.690461
2018-08-22 14:13:00,5203.690461
2018-08-22 14:14:00,5204.654811
2018-08-22 14:15:00,5205.619161
2018-08-22 14:16:00,5206.583511
2018-08-22 14:17:00,5207.547861
2018-08-22 14:18:00,5209.476561
2018-08-22 14:19:00,5209.476561
2018-08-22 14:20:00,5210.440911
2018-08-22 14:21:00,5210.440911
2018-08-22 14:22:00,5207.547861
2018-08-22 14:23:00,5207.547861
2018-08-22 14:24:00,5209.476561
2018-08-22 14:25:00,5207.547861
2018-08-22 14:26:00,5208.512211
2018-08-22 14:27:00,5208.512211
2018-08-22 14:28:00,5209.476561
2018-08-22 14:29:00,5208.512211
2018-08-22 14:30:00,5207.547861
2018-08-22 14:31:00,5209.476561
2018-08-22 14:32:00,5207.547861
2018-08-22 14:33:00,5206.583511
2018-08-22 14:34:00,5207.547861
2018-08-22 14:35:00,5208.512211
2018-08-22 14:36:00,5209.476561
2018-08-22 14:37:00,5209.476561
2018-08-22 14:38:00,5209.476561
2018-08-22 14:39:00,5209.476561
2018-08-22 14:40:00,5209.476561
2018-08-22 14:41:00,5209.476561
2018-08-22 14:42:00,5208.030036
2018-08-22 14:43:00,5208.512211
2018-08-22 14:44:00,5209.476561
2018-08-22 14:45:00,5209.476561
2018-08-22 14:46:00,5211.405261
2018-08-22 14:47:00,5213.333961
2018-08-22 14:48:00,5210.923086
2018-08-22 14:49:00,5210.923086
2018-08-22 14:50:00,5210.440911
2018-08-22 14:51:00,5210.440911
2018-08-22 14:52:00,5211.405261
2018-08-22 14:53:00,5211.405261
2018-08-22 14:54:00,5210.440911
2018-08-22 14:55:00,5213.333961
2018-08-22 14:56:00,5215.262661
2018-08-22 14:57:00,5216.709186
2018-08-22 14:58:00,5216.227011
2018-08-22 14:59:00,5214.780486
2018-08-22 15:00:00,5214.780486
2018-08-22 15:01:00,5213.816136
2018-08-22 15:02:00,5213.816136
2018-08-22 15:03:00,5211.405261
2018-08-22 15:04:00,5210.923086
