,GBX
2018-07-26 03:10:00,38425.2330646
2018-07-26 03:11:00,38422.9027746
2018-07-26 03:12:00,38418.2421946
2018-07-26 03:13:00,38420.5724846
2018-07-26 03:14:00,38422.9027746
2018-07-26 03:15:00,38432.2239346
2018-07-26 03:16:00,38436.8845146
2018-07-26 03:17:00,38434.5542246
2018-07-26 03:18:00,38439.2148046
2018-07-26 03:19:00,38448.5359646
2018-07-26 03:20:00,38453.1965446
2018-07-26 03:21:00,38450.8662546
2018-07-26 03:22:00,38453.1965446
2018-07-26 03:23:00,38453.1965446
2018-07-26 03:24:00,38443.8753846
2018-07-26 03:25:00,38448.5359646
2018-07-26 03:26:00,38436.8845146
2018-07-26 03:27:00,38439.2148046
2018-07-26 03:28:00,38443.8753846
2018-07-26 03:29:00,38439.2148046
2018-07-26 03:30:00,38443.8753846
2018-07-26 03:31:00,38448.5359646
2018-07-26 03:32:00,38441.5450946
2018-07-26 03:33:00,38439.2148046
2018-07-26 03:34:00,38443.8753846
2018-07-26 03:35:00,38448.5359646
2018-07-26 03:36:00,38448.5359646
2018-07-26 03:37:00,38443.8753846
2018-07-26 03:38:00,38443.8753846
2018-07-26 03:39:00,38453.1965446
2018-07-26 03:40:00,38434.5542246
2018-07-26 03:41:00,38420.5724846
2018-07-26 03:42:00,38415.9119046
2018-07-26 03:43:00,38411.2513246
2018-07-26 03:44:00,38415.9119046
2018-07-26 03:45:00,38420.5724846
2018-07-26 03:46:00,38415.9119046
2018-07-26 03:47:00,38411.2513246
2018-07-26 03:48:00,38411.2513246
2018-07-26 03:49:00,38415.9119046
2018-07-26 03:50:00,38415.9119046
2018-07-26 03:51:00,38411.2513246
2018-07-26 03:52:00,38397.2695846
2018-07-26 03:53:00,38397.2695846
2018-07-26 03:54:00,38392.6090046
2018-07-26 03:55:00,38394.9392946
2018-07-26 03:56:00,38397.2695846
2018-07-26 03:57:00,38401.9301646
2018-07-26 03:58:00,38401.9301646
2018-07-26 03:59:00,38413.5816146
2018-07-26 04:00:00,38415.9119046
2018-07-26 04:01:00,38408.9210346
2018-07-26 04:02:00,38406.5907446
2018-07-26 04:03:00,38411.2513246
2018-07-26 04:04:00,38411.2513246
2018-07-26 04:05:00,38415.9119046
2018-07-26 04:06:00,38420.5724846
2018-07-26 04:07:00,38418.2421946
2018-07-26 04:08:00,38411.2513246
2018-07-26 04:09:00,38415.9119046
2018-07-26 04:10:00,38415.9119046
2018-07-26 04:11:00,38415.9119046
2018-07-26 04:12:00,38406.5907446
2018-07-26 04:13:00,38406.5907446
2018-07-26 04:14:00,38406.5907446
2018-07-26 04:15:00,38411.2513246
2018-07-26 04:16:00,38411.2513246
2018-07-26 04:17:00,38411.2513246
2018-07-26 04:18:00,38401.9301646
2018-07-26 04:19:00,38411.2513246
2018-07-26 04:20:00,38418.2421946
2018-07-26 04:21:00,38418.2421946
2018-07-26 04:22:00,38425.2330646
2018-07-26 04:23:00,38420.5724846
2018-07-26 04:24:00,38420.5724846
2018-07-26 04:25:00,38406.5907446
2018-07-26 04:26:00,38401.9301646
2018-07-26 04:27:00,38401.9301646
2018-07-26 04:28:00,38406.5907446
2018-07-26 04:29:00,38415.9119046
2018-07-26 04:30:00,38411.2513246
2018-07-26 04:31:00,38415.9119046
2018-07-26 04:32:00,38415.9119046
2018-07-26 04:33:00,38401.9301646
2018-07-26 04:34:00,38392.6090046
2018-07-26 04:35:00,38397.2695846
2018-07-26 04:36:00,38392.6090046
2018-07-26 04:37:00,38392.6090046
2018-07-26 04:38:00,38392.6090046
2018-07-26 04:39:00,38392.6090046
2018-07-26 04:40:00,38378.6272646
2018-07-26 04:41:00,38383.2878446
2018-07-26 04:42:00,38383.2878446
2018-07-26 04:43:00,38378.6272646
2018-07-26 04:44:00,38373.9666846
2018-07-26 04:45:00,38364.6455246
2018-07-26 04:46:00,38373.9666846
2018-07-26 04:47:00,38359.9849446
2018-07-26 04:48:00,38364.6455246
2018-07-26 04:49:00,38364.6455246
2018-07-26 04:50:00,38359.9849446
2018-07-26 04:51:00,38355.3243646
2018-07-26 04:52:00,38364.6455246
2018-07-26 04:53:00,38378.6272646
2018-07-26 04:54:00,38376.2969746
2018-07-26 04:55:00,38385.6181346
2018-07-26 04:56:00,38383.2878446
2018-07-26 04:57:00,38383.2878446
2018-07-26 04:58:00,38383.2878446
2018-07-26 04:59:00,38383.2878446
2018-07-26 05:00:00,38383.2878446
2018-07-26 05:01:00,38383.2878446
2018-07-26 05:02:00,38383.2878446
2018-07-26 05:03:00,38383.2878446
2018-07-26 05:04:00,38387.9484246
2018-07-26 05:05:00,38394.9392946
2018-07-26 05:06:00,38397.2695846
2018-07-26 05:07:00,38392.6090046
2018-07-26 05:08:00,38387.9484246
2018-07-26 05:09:00,38385.6181346
2018-07-26 05:10:00,38392.6090046
2018-07-26 05:11:00,38394.9392946
2018-07-26 05:12:00,38387.9484246
2018-07-26 05:13:00,38387.9484246
2018-07-26 05:14:00,38383.2878446
2018-07-26 05:15:00,38392.6090046
2018-07-26 05:16:00,38392.6090046
2018-07-26 05:17:00,38392.6090046
2018-07-26 05:18:00,38392.6090046
2018-07-26 05:19:00,38397.2695846
2018-07-26 05:20:00,38394.9392946
2018-07-26 05:21:00,38392.6090046
2018-07-26 05:22:00,38397.2695846
2018-07-26 05:23:00,38392.6090046
2018-07-26 05:24:00,38394.9392946
2018-07-26 05:25:00,38387.9484246
2018-07-26 05:26:00,38387.9484246
2018-07-26 05:27:00,38383.2878446
2018-07-26 05:28:00,38387.9484246
2018-07-26 05:29:00,38383.2878446
2018-07-26 05:30:00,38383.2878446
2018-07-26 05:31:00,38387.9484246
2018-07-26 05:32:00,38387.9484246
2018-07-26 05:33:00,38383.2878446
2018-07-26 05:34:00,38383.2878446
2018-07-26 05:35:00,38383.2878446
2018-07-26 05:36:00,38378.6272646
2018-07-26 05:37:00,38383.2878446
2018-07-26 05:38:00,38383.2878446
2018-07-26 05:39:00,38387.9484246
2018-07-26 05:40:00,38387.9484246
