,ICECC2
2018-08-07 12:19:00,233876.695371
2018-08-07 12:20:00,233876.695371
2018-08-07 12:21:00,233876.695371
2018-08-07 12:22:00,233876.695371
2018-08-07 12:23:00,233872.545371
2018-08-07 12:24:00,233868.395371
2018-08-07 12:25:00,233868.395371
2018-08-07 12:26:00,233868.395371
2018-08-07 12:27:00,233872.545371
2018-08-07 12:28:00,233870.470372
2018-08-07 12:29:00,233868.395371
2018-08-08 03:44:00,233868.395371
2018-08-08 03:45:00,233870.470372
2018-08-08 03:46:00,233849.720371
2018-08-08 03:47:00,233845.570371
2018-08-08 03:48:00,233828.970371
2018-08-08 03:49:00,233816.520371
2018-08-08 03:50:00,233831.045371
2018-08-08 03:51:00,233862.170372
2018-08-08 03:52:00,233860.095372
2018-08-08 03:53:00,233858.020371
2018-08-08 03:54:00,233872.545371
2018-08-08 03:55:00,233878.770371
2018-08-08 03:56:00,233874.620371
2018-08-08 03:57:00,233866.320371
2018-08-08 03:58:00,233862.170372
2018-08-08 03:59:00,233862.170372
2018-08-08 04:00:00,233860.095372
2018-08-08 04:01:00,233893.295371
2018-08-08 04:02:00,233887.070371
2018-08-08 04:03:00,233893.295371
2018-08-08 04:04:00,233893.295371
2018-08-08 04:05:00,233895.370371
2018-08-08 04:06:00,233901.595371
2018-08-08 04:07:00,233899.520371
2018-08-08 04:08:00,233891.220372
2018-08-08 04:09:00,233891.220372
2018-08-08 04:10:00,233891.220372
2018-08-08 04:11:00,233887.070371
2018-08-08 04:12:00,233887.070371
2018-08-08 04:13:00,233876.695371
2018-08-08 04:14:00,233874.620371
2018-08-08 04:15:00,233872.545371
2018-08-08 04:16:00,233866.320371
2018-08-08 04:17:00,233870.470372
2018-08-08 04:18:00,233862.170372
2018-08-08 04:19:00,233860.095372
2018-08-08 04:20:00,233855.945371
2018-08-08 04:21:00,233858.020371
2018-08-08 04:22:00,233860.095372
2018-08-08 04:23:00,233862.170372
2018-08-08 04:24:00,233862.170372
2018-08-08 04:25:00,233858.020371
2018-08-08 04:26:00,233866.320371
2018-08-08 04:27:00,233868.395371
2018-08-08 04:28:00,233876.695371
2018-08-08 04:29:00,233897.445371
2018-08-08 04:30:00,233882.920371
2018-08-08 04:31:00,233882.920371
2018-08-08 04:32:00,233878.770371
2018-08-08 04:33:00,233878.770371
2018-08-08 04:34:00,233878.770371
2018-08-08 04:35:00,233870.470372
2018-08-08 04:36:00,233870.470372
2018-08-08 04:37:00,233870.470372
2018-08-08 04:38:00,233870.470372
2018-08-08 04:39:00,233855.945371
2018-08-08 04:40:00,233862.170372
2018-08-08 04:41:00,233866.320371
2018-08-08 04:42:00,233868.395371
2018-08-08 04:43:00,233866.320371
2018-08-08 04:44:00,233858.020371
2018-08-08 04:45:00,233858.020371
2018-08-08 04:46:00,233858.020371
2018-08-08 04:47:00,233864.245372
2018-08-08 04:48:00,233874.620371
2018-08-08 04:49:00,233882.920371
2018-08-08 04:50:00,233878.770371
2018-08-08 04:51:00,233874.620371
2018-08-08 04:52:00,233880.845372
2018-08-08 04:53:00,233880.845372
2018-08-08 04:54:00,233882.920371
2018-08-08 04:55:00,233882.920371
2018-08-08 04:56:00,233884.995372
2018-08-08 04:57:00,233891.220372
2018-08-08 04:58:00,233889.145371
2018-08-08 04:59:00,233882.920371
2018-08-08 05:00:00,233887.070371
2018-08-08 05:01:00,233887.070371
2018-08-08 05:02:00,233882.920371
2018-08-08 05:03:00,233878.770371
2018-08-08 05:04:00,233878.770371
2018-08-08 05:05:00,233878.770371
2018-08-08 05:06:00,233874.620371
2018-08-08 05:07:00,233874.620371
2018-08-08 05:08:00,233872.545371
2018-08-08 05:09:00,233872.545371
2018-08-08 05:10:00,233874.620371
2018-08-08 05:11:00,233876.695371
2018-08-08 05:12:00,233876.695371
2018-08-08 05:13:00,233872.545371
2018-08-08 05:14:00,233868.395371
2018-08-08 05:15:00,233868.395371
2018-08-08 05:16:00,233866.320371
2018-08-08 05:17:00,233868.395371
2018-08-08 05:18:00,233858.020371
2018-08-08 05:19:00,233872.545371
2018-08-08 05:20:00,233872.545371
2018-08-08 05:21:00,233862.170372
2018-08-08 05:22:00,233860.095372
2018-08-08 05:23:00,233858.020371
2018-08-08 05:24:00,233862.170372
2018-08-08 05:25:00,233860.095372
2018-08-08 05:26:00,233860.095372
2018-08-08 05:27:00,233858.020371
2018-08-08 05:28:00,233862.170372
2018-08-08 05:29:00,233862.170372
2018-08-08 05:30:00,233864.245372
2018-08-08 05:31:00,233862.170372
2018-08-08 05:32:00,233862.170372
2018-08-08 05:33:00,233862.170372
2018-08-08 05:34:00,233862.170372
2018-08-08 05:35:00,233866.320371
2018-08-08 05:36:00,233864.245372
2018-08-08 05:37:00,233858.020371
2018-08-08 05:38:00,233853.870372
2018-08-08 05:39:00,233853.870372
2018-08-08 05:40:00,233855.945371
2018-08-08 05:41:00,233855.945371
2018-08-08 05:42:00,233853.870372
2018-08-08 05:43:00,233853.870372
2018-08-08 05:44:00,233853.870372
2018-08-08 05:45:00,233853.870372
2018-08-08 05:46:00,233853.870372
2018-08-08 05:47:00,233855.945371
2018-08-08 05:48:00,233862.170372
2018-08-08 05:49:00,233853.870372
2018-08-08 05:50:00,233847.645371
2018-08-08 05:51:00,233847.645371
2018-08-08 05:52:00,233847.645371
2018-08-08 05:53:00,233849.720371
2018-08-08 05:54:00,233849.720371
2018-08-08 05:55:00,233849.720371
2018-08-08 05:56:00,233847.645371
2018-08-08 05:57:00,233847.645371
2018-08-08 05:58:00,233847.645371
2018-08-08 05:59:00,233845.570371
2018-08-08 06:00:00,233845.570371
2018-08-08 06:01:00,233837.270371
2018-08-08 06:02:00,233837.270371
2018-08-08 06:03:00,233835.195371
2018-08-08 06:04:00,233828.970371
2018-08-08 06:05:00,233831.045371
2018-08-08 06:06:00,233831.045371
2018-08-08 06:07:00,233833.120372
2018-08-08 06:08:00,233835.195371
2018-08-08 06:09:00,233835.195371
2018-08-08 06:10:00,233837.270371
2018-08-08 06:11:00,233845.570371
2018-08-08 06:12:00,233845.570371
2018-08-08 06:13:00,233841.420371
2018-08-08 06:14:00,233837.270371
2018-08-08 06:15:00,233835.195371
2018-08-08 06:16:00,233841.420371
2018-08-08 06:17:00,233841.420371
2018-08-08 06:18:00,233845.570371
2018-08-08 06:19:00,233845.570371
2018-08-08 06:20:00,233864.245372
2018-08-08 06:21:00,233862.170372
2018-08-08 06:22:00,233862.170372
2018-08-08 06:23:00,233862.170372
2018-08-08 06:24:00,233870.470372
2018-08-08 06:25:00,233874.620371
2018-08-08 06:26:00,233874.620371
2018-08-08 06:27:00,233866.320371
2018-08-08 06:28:00,233866.320371
2018-08-08 06:29:00,233866.320371
2018-08-08 06:30:00,233866.320371
2018-08-08 06:31:00,233864.245372
2018-08-08 06:32:00,233866.320371
2018-08-08 06:33:00,233866.320371
2018-08-08 06:34:00,233866.320371
2018-08-08 06:35:00,233866.320371
2018-08-08 06:36:00,233862.170372
2018-08-08 06:37:00,233862.170372
2018-08-08 06:38:00,233862.170372
2018-08-08 06:39:00,233858.020371
2018-08-08 06:40:00,233858.020371
2018-08-08 06:41:00,233853.870372
2018-08-08 06:42:00,233853.870372
2018-08-08 06:43:00,233849.720371
2018-08-08 06:44:00,233847.645371
2018-08-08 06:45:00,233849.720371
2018-08-08 06:46:00,233860.095372
2018-08-08 06:47:00,233858.020371
2018-08-08 06:48:00,233864.245372
2018-08-08 06:49:00,233866.320371
2018-08-08 06:50:00,233858.020371
2018-08-08 06:51:00,233858.020371
2018-08-08 06:52:00,233858.020371
2018-08-08 06:53:00,233858.020371
2018-08-08 06:54:00,233853.870372
2018-08-08 06:55:00,233858.020371
2018-08-08 06:56:00,233862.170372
