,OMX
2018-08-06 10:05:00,13058.5157793
2018-08-06 10:06:00,13063.8051643
2018-08-06 10:07:00,13063.8051643
2018-08-06 10:08:00,13058.5157793
2018-08-06 10:09:00,13047.9370093
2018-08-06 10:10:00,13047.9370093
2018-08-06 10:11:00,13047.9370093
2018-08-06 10:12:00,13047.9370093
2018-08-06 10:13:00,13047.9370093
2018-08-06 10:14:00,13058.5157793
2018-08-06 10:15:00,13058.5157793
2018-08-06 10:16:00,13058.5157793
2018-08-06 10:17:00,13058.5157793
2018-08-06 10:18:00,13058.5157793
2018-08-06 10:19:00,13063.8051643
2018-08-06 10:20:00,13069.0945493
2018-08-06 10:21:00,13084.9627043
2018-08-06 10:22:00,13100.8308593
2018-08-06 10:23:00,13111.4096293
2018-08-06 10:24:00,13132.5671693
2018-08-07 01:59:00,13240.9995618
2018-08-07 02:00:00,13227.7760993
2018-08-07 02:01:00,13198.6844818
2018-08-07 02:02:00,13211.9079443
2018-08-07 02:03:00,13222.4867143
2018-08-07 02:04:00,13233.0654843
2018-08-07 02:05:00,13233.0654843
2018-08-07 02:06:00,13196.0397893
2018-08-07 02:07:00,13190.7504043
2018-08-07 02:08:00,13190.7504043
2018-08-07 02:09:00,13201.3291743
2018-08-07 02:10:00,13196.0397893
2018-08-07 02:11:00,13190.7504043
2018-08-07 02:12:00,13174.8822493
2018-08-07 02:13:00,13169.5928643
2018-08-07 02:14:00,13180.1716343
2018-08-07 02:15:00,13164.3034793
2018-08-07 02:16:00,13164.3034793
2018-08-07 02:17:00,13169.5928643
2018-08-07 02:18:00,13180.1716343
2018-08-07 02:19:00,13190.7504043
2018-08-07 02:20:00,13169.5928643
2018-08-07 02:21:00,13180.1716343
2018-08-07 02:22:00,13169.5928643
2018-08-07 02:23:00,13190.7504043
2018-08-07 02:24:00,13180.1716343
2018-08-07 02:25:00,13201.3291743
2018-08-07 02:26:00,13196.0397893
2018-08-07 02:27:00,13201.3291743
2018-08-07 02:28:00,13190.7504043
2018-08-07 02:29:00,13174.8822493
2018-08-07 02:30:00,13169.5928643
2018-08-07 02:31:00,13177.5269418
2018-08-07 02:32:00,13169.5928643
2018-08-07 02:33:00,13169.5928643
2018-08-07 02:34:00,13169.5928643
2018-08-07 02:35:00,13174.8822493
2018-08-07 02:36:00,13164.3034793
2018-08-07 02:37:00,13190.7504043
2018-08-07 02:38:00,13185.4610193
2018-08-07 02:39:00,13196.0397893
2018-08-07 02:40:00,13211.9079443
2018-08-07 02:41:00,13201.3291743
2018-08-07 02:42:00,13196.0397893
2018-08-07 02:43:00,13201.3291743
2018-08-07 02:44:00,13190.7504043
2018-08-07 02:45:00,13201.3291743
2018-08-07 02:46:00,13206.6185593
2018-08-07 02:47:00,13196.0397893
2018-08-07 02:48:00,13196.0397893
2018-08-07 02:49:00,13201.3291743
2018-08-07 02:50:00,13201.3291743
2018-08-07 02:51:00,13206.6185593
2018-08-07 02:52:00,13196.0397893
2018-08-07 02:53:00,13206.6185593
2018-08-07 02:54:00,13201.3291743
2018-08-07 02:55:00,13211.9079443
2018-08-07 02:56:00,13211.9079443
2018-08-07 02:57:00,13206.6185593
2018-08-07 02:58:00,13217.1973293
2018-08-07 02:59:00,13211.9079443
2018-08-07 03:00:00,13206.6185593
2018-08-07 03:01:00,13206.6185593
2018-08-07 03:02:00,13217.1973293
2018-08-07 03:03:00,13211.9079443
2018-08-07 03:04:00,13211.9079443
2018-08-07 03:05:00,13222.4867143
2018-08-07 03:06:00,13222.4867143
2018-08-07 03:07:00,13222.4867143
2018-08-07 03:08:00,13227.7760993
2018-08-07 03:09:00,13233.0654843
2018-08-07 03:10:00,13233.0654843
2018-08-07 03:11:00,13233.0654843
2018-08-07 03:12:00,13233.0654843
2018-08-07 03:13:00,13248.9336393
2018-08-07 03:14:00,13254.2230243
2018-08-07 03:15:00,13264.8017943
2018-08-07 03:16:00,13264.8017943
2018-08-07 03:17:00,13272.7358718
2018-08-07 03:18:00,13270.0911793
2018-08-07 03:19:00,13270.0911793
