,MME
2018-08-16 11:26:00,8703.79111955
2018-08-16 11:27:00,8703.79111955
2018-08-16 11:28:00,8708.16111955
2018-08-16 11:29:00,8705.97611955
2018-08-16 11:30:00,8697.23611955
2018-08-16 11:31:00,8690.68111955
2018-08-16 11:32:00,8673.20111955
2018-08-16 11:33:00,8665.55361955
2018-08-16 11:34:00,8666.64611955
2018-08-16 11:35:00,8658.99861955
2018-08-16 11:36:00,8649.16611955
2018-08-16 11:37:00,8649.16611955
2018-08-16 11:38:00,8651.35111955
2018-08-16 11:39:00,8646.98111955
2018-08-16 11:40:00,8620.76111955
2018-08-16 11:41:00,8596.72611955
2018-08-16 11:42:00,8574.87611955
2018-08-16 11:43:00,8577.06111955
2018-08-16 11:44:00,8570.50611955
2018-08-16 11:45:00,8594.54111955
2018-08-16 11:46:00,8587.98611955
2018-08-16 11:47:00,8594.54111955
2018-08-16 11:48:00,8603.28111955
2018-08-16 11:49:00,8593.44861955
2018-08-16 11:50:00,8585.80111955
2018-08-16 11:51:00,8600.00361955
2018-08-16 11:52:00,8603.28111955
2018-08-16 11:53:00,8612.02111955
2018-08-16 11:54:00,8615.29861955
2018-08-16 11:55:00,8620.76111955
2018-08-16 11:56:00,8629.50111955
2018-08-16 11:57:00,8627.31611955
2018-08-16 11:58:00,8633.87111955
2018-08-16 11:59:00,8629.50111955
2018-08-16 12:00:00,8625.13111955
2018-08-16 12:01:00,8629.50111955
2018-08-16 12:02:00,8624.03861955
2018-08-16 12:03:00,8614.20611955
2018-08-16 12:04:00,8622.94611955
2018-08-16 12:05:00,8627.31611955
2018-08-16 12:06:00,8614.20611955
2018-08-16 12:07:00,8614.20611955
2018-08-16 12:08:00,8620.76111955
2018-08-16 12:09:00,8615.29861955
2018-08-16 12:10:00,8618.57611955
2018-08-16 12:11:00,8619.66861955
2018-08-16 12:12:00,8629.50111955
2018-08-16 12:13:00,8622.94611955
2018-08-16 12:14:00,8627.31611955
2018-08-16 12:15:00,8615.29861955
