,MX
2018-07-30 02:25:00,25984.4046531
2018-07-30 02:26:00,25985.8187801
2018-07-30 02:27:00,25985.8187801
2018-07-30 02:28:00,25984.4046531
2018-07-30 02:29:00,25984.4046531
2018-07-30 02:30:00,26007.0306851
2018-07-30 02:31:00,26018.3437011
2018-07-30 02:32:00,26007.0306851
2018-07-30 02:33:00,25992.8894151
2018-07-30 02:34:00,26001.3741771
2018-07-30 02:35:00,26004.2024311
2018-07-30 02:36:00,26007.0306851
2018-07-30 02:37:00,26009.8589391
2018-07-30 02:38:00,26011.2730661
2018-07-30 02:39:00,26012.6871931
2018-07-30 02:40:00,26008.4448121
2018-07-30 02:41:00,26016.9295741
2018-07-30 02:42:00,26019.7578281
2018-07-30 02:43:00,26009.8589391
2018-07-30 02:44:00,26008.4448121
2018-07-30 02:45:00,26004.2024311
2018-07-30 02:46:00,26015.5154471
2018-07-30 02:47:00,26012.6871931
2018-07-30 02:48:00,26011.2730661
2018-07-30 02:49:00,26009.8589391
2018-07-30 02:50:00,26002.7883041
2018-07-30 02:51:00,26004.2024311
2018-07-30 02:52:00,26004.2024311
2018-07-30 02:53:00,26002.7883041
2018-07-30 02:54:00,26004.2024311
2018-07-30 02:55:00,25984.4046531
2018-07-30 02:56:00,25987.2329071
2018-07-30 02:57:00,25984.4046531
2018-07-30 02:58:00,25978.7481451
2018-07-30 02:59:00,25984.4046531
2018-07-30 03:00:00,25991.4752881
2018-07-30 03:01:00,25992.8894151
2018-07-30 03:02:00,25985.8187801
2018-07-30 03:03:00,25980.1622721
2018-07-30 03:04:00,25975.9198911
2018-07-30 03:05:00,25975.9198911
2018-07-30 03:06:00,25978.7481451
2018-07-30 03:07:00,25968.8492561
2018-07-30 03:08:00,25971.6775101
2018-07-30 03:09:00,25966.0210021
2018-07-30 03:10:00,25958.9503671
2018-07-30 03:11:00,25954.7079861
2018-07-30 03:12:00,25950.4656051
2018-07-30 03:13:00,25951.8797321
2018-07-30 03:14:00,25947.6373511
2018-07-30 03:15:00,25953.2938591
2018-07-30 03:16:00,25961.7786211
2018-07-30 03:17:00,25958.9503671
2018-07-30 03:18:00,25963.1927481
2018-07-30 03:19:00,25968.8492561
2018-07-30 03:20:00,25966.0210021
2018-07-30 03:21:00,25975.9198911
2018-07-30 03:22:00,25978.7481451
2018-07-30 03:23:00,25994.3035421
2018-07-30 03:24:00,25995.7176691
2018-07-30 03:25:00,25987.2329071
2018-07-30 03:26:00,25990.0611611
2018-07-30 03:27:00,25984.4046531
2018-07-30 03:28:00,25973.0916371
2018-07-30 03:29:00,25981.5763991
2018-07-30 03:30:00,25978.7481451
2018-07-30 03:31:00,25970.2633831
2018-07-30 03:32:00,25970.2633831
2018-07-30 03:33:00,25964.6068751
2018-07-30 03:34:00,25974.5057641
2018-07-30 03:35:00,25980.1622721
2018-07-30 03:36:00,25988.6470341
2018-07-30 03:37:00,25992.8894151
2018-07-30 03:38:00,25970.2633831
2018-07-30 03:39:00,25970.2633831
2018-07-30 03:40:00,25970.2633831
2018-07-30 03:41:00,25973.0916371
2018-07-30 03:42:00,25978.7481451
2018-07-30 03:43:00,25987.2329071
2018-07-30 03:44:00,25987.2329071
2018-07-30 03:45:00,25994.3035421
2018-07-30 03:46:00,25998.5459231
2018-07-30 03:47:00,25998.5459231
2018-07-30 03:48:00,25999.9600501
2018-07-30 03:49:00,26007.0306851
2018-07-30 03:50:00,26005.6165581
2018-07-30 03:51:00,26001.3741771
2018-07-30 03:52:00,25987.2329071
2018-07-30 03:53:00,25990.0611611
2018-07-30 03:54:00,25984.4046531
2018-07-30 03:55:00,25995.7176691
