,ICESB3
2018-09-12 03:21:00,-284539.514459
2018-09-12 03:22:00,-284539.514459
2018-09-12 03:23:00,-284539.514459
2018-09-12 03:24:00,-284539.514459
2018-09-12 03:25:00,-284539.514459
2018-09-12 03:26:00,-284539.514459
2018-09-12 03:27:00,-284539.514459
2018-09-12 03:28:00,-284525.996059
2018-09-12 03:29:00,-284525.996059
2018-09-12 03:30:00,-284532.755259
2018-09-12 03:31:00,-284532.755259
2018-09-12 03:32:00,-284532.755259
2018-09-12 03:33:00,-284525.996059
2018-09-12 03:34:00,-284519.236859
2018-09-12 03:35:00,-284519.236859
2018-09-12 03:36:00,-284519.236859
2018-09-12 03:37:00,-284519.236859
2018-09-12 03:38:00,-284512.477659
2018-09-12 03:39:00,-284519.236859
2018-09-12 03:40:00,-284525.996059
2018-09-12 03:41:00,-284525.996059
2018-09-12 03:42:00,-284525.996059
2018-09-12 03:43:00,-284525.996059
2018-09-12 03:44:00,-284532.755259
2018-09-12 03:45:00,-284532.755259
2018-09-12 03:46:00,-284539.514459
2018-09-12 03:47:00,-284539.514459
2018-09-12 03:48:00,-284539.514459
2018-09-12 03:49:00,-284539.514459
2018-09-12 03:50:00,-284532.755259
2018-09-12 03:51:00,-284532.755259
2018-09-12 03:52:00,-284532.755259
2018-09-12 03:53:00,-284532.755259
2018-09-12 03:54:00,-284525.996059
2018-09-12 03:55:00,-284525.996059
