,ICESB
2018-08-21 06:33:00,-3519.4680192
2018-08-21 06:34:00,-3519.4680192
2018-08-21 06:35:00,-3519.4680192
2018-08-21 06:36:00,-3519.4680192
2018-08-21 06:37:00,-3519.4680192
2018-08-21 06:38:00,-3506.7224192
2018-08-21 06:39:00,-3506.7224192
2018-08-21 06:40:00,-3506.7224192
2018-08-21 06:41:00,-3506.7224192
2018-08-21 06:42:00,-3506.7224192
2018-08-21 06:43:00,-3506.7224192
2018-08-21 06:44:00,-3506.7224192
2018-08-21 06:45:00,-3519.4680192
2018-08-21 06:46:00,-3519.4680192
2018-08-21 06:47:00,-3519.4680192
2018-08-21 06:48:00,-3519.4680192
2018-08-21 06:49:00,-3519.4680192
2018-08-21 06:50:00,-3506.7224192
2018-08-21 06:51:00,-3506.7224192
2018-08-21 06:52:00,-3506.7224192
2018-08-21 06:53:00,-3506.7224192
2018-08-21 06:54:00,-3506.7224192
2018-08-21 06:55:00,-3506.7224192
