,OAT
2018-02-27 10:14:00,33595.2750298
2018-02-27 10:15:00,33570.3599458
2018-02-27 10:16:00,33570.3599458
2018-02-27 10:17:00,33557.9024038
2018-02-27 10:18:00,33545.4448618
2018-02-27 10:19:00,33545.4448618
2018-02-27 10:20:00,33545.4448618
2018-02-27 10:21:00,33528.8348058
2018-02-27 10:22:00,33528.8348058
2018-02-27 10:23:00,33537.1398338
2018-02-27 10:24:00,33528.8348058
2018-02-27 10:25:00,33537.1398338
2018-02-27 10:26:00,33528.8348058
2018-02-27 10:27:00,33528.8348058
2018-02-27 10:28:00,33537.1398338
2018-02-27 10:29:00,33562.0549178
2018-02-27 10:30:00,33553.7498898
2018-02-27 10:31:00,33557.9024038
2018-02-27 10:32:00,33562.0549178
2018-02-27 10:33:00,33562.0549178
2018-02-27 10:34:00,33570.3599458
2018-02-27 10:35:00,33578.6649738
2018-02-27 10:36:00,33586.9700018
2018-02-27 10:37:00,33595.2750298
2018-02-27 10:38:00,33595.2750298
2018-02-27 10:39:00,33603.5800578
2018-02-27 10:40:00,33586.9700018
2018-02-27 10:41:00,33595.2750298
2018-02-27 10:42:00,33595.2750298
2018-02-27 10:43:00,33595.2750298
2018-02-27 10:44:00,33578.6649738
2018-02-27 10:45:00,33578.6649738
2018-02-27 10:46:00,33586.9700018
2018-02-27 10:47:00,33599.4275438
2018-02-27 10:48:00,33616.0375998
2018-02-27 10:49:00,33603.5800578
2018-02-27 10:50:00,33603.5800578
2018-02-27 10:51:00,33599.4275438
2018-02-27 10:52:00,33599.4275438
2018-02-27 10:53:00,33607.7325718
2018-02-27 10:54:00,33607.7325718
2018-02-27 10:55:00,33586.9700018
2018-02-27 10:56:00,33578.6649738
2018-02-27 10:57:00,33578.6649738
2018-02-27 10:58:00,33578.6649738
2018-02-27 10:59:00,33578.6649738
2018-02-27 11:00:00,33591.1225158
2018-02-27 11:01:00,33591.1225158
2018-02-27 11:02:00,33595.2750298
2018-02-27 11:03:00,33595.2750298
2018-02-27 11:04:00,33595.2750298
2018-02-27 11:05:00,33595.2750298
2018-02-27 11:06:00,33591.1225158
2018-02-27 11:07:00,33586.9700018
2018-02-27 11:08:00,33574.5124598
2018-02-27 11:09:00,33562.0549178
2018-02-27 11:10:00,33562.0549178
2018-02-27 11:11:00,33553.7498898
2018-02-27 11:12:00,33545.4448618
2018-02-27 11:13:00,33545.4448618
2018-02-27 11:14:00,33549.5973758
2018-02-27 11:15:00,33557.9024038
2018-02-27 11:16:00,33562.0549178
2018-02-27 11:17:00,33562.0549178
2018-02-27 11:18:00,33553.7498898
2018-02-27 11:19:00,33549.5973758
2018-02-27 11:20:00,33553.7498898
2018-02-27 11:21:00,33549.5973758
2018-02-27 11:22:00,33545.4448618
2018-02-27 11:23:00,33545.4448618
2018-02-27 11:24:00,33537.1398338
2018-02-27 11:25:00,33537.1398338
2018-02-27 11:26:00,33537.1398338
2018-02-27 11:27:00,33545.4448618
2018-02-27 11:28:00,33541.2923478
2018-02-27 11:29:00,33545.4448618
2018-02-27 11:30:00,33537.1398338
2018-02-27 11:31:00,33528.8348058
2018-02-27 11:32:00,33528.8348058
2018-02-27 11:33:00,33528.8348058
2018-02-27 11:34:00,33520.5297778
2018-02-27 11:35:00,33520.5297778
2018-02-27 11:36:00,33520.5297778
2018-02-27 11:37:00,33520.5297778
2018-02-27 11:38:00,33512.2247498
2018-02-27 11:39:00,33512.2247498
2018-02-27 11:40:00,33512.2247498
2018-02-27 11:41:00,33512.2247498
2018-02-27 11:42:00,33503.9197218
2018-02-27 11:43:00,33503.9197218
2018-02-27 11:44:00,33512.2247498
2018-02-27 11:45:00,33520.5297778
2018-02-27 11:46:00,33512.2247498
2018-02-27 11:47:00,33512.2247498
2018-02-27 11:48:00,33512.2247498
2018-02-27 11:49:00,33512.2247498
2018-02-27 11:50:00,33512.2247498
2018-02-27 11:51:00,33528.8348058
2018-02-27 11:52:00,33528.8348058
2018-02-27 11:53:00,33528.8348058
2018-02-27 11:54:00,33532.9873198
2018-02-27 11:55:00,33537.1398338
2018-02-27 11:56:00,33537.1398338
