,SMI
2018-08-08 03:54:00,12595.8955955
2018-08-08 03:55:00,12593.944922
2018-08-08 03:56:00,12603.6982895
2018-08-08 03:57:00,12595.8955955
2018-08-08 03:58:00,12595.8955955
2018-08-08 03:59:00,12605.648963
2018-08-08 04:00:00,12601.747616
2018-08-08 04:01:00,12615.4023305
2018-08-08 04:02:00,12621.254351
2018-08-08 04:03:00,12615.4023305
2018-08-08 04:04:00,12619.3036775
2018-08-08 04:05:00,12607.5996365
2018-08-08 04:06:00,12599.7969425
2018-08-08 04:07:00,12593.944922
2018-08-08 04:08:00,12595.8955955
2018-08-08 04:09:00,12599.7969425
2018-08-08 04:10:00,12588.0929015
2018-08-08 04:11:00,12584.1915545
2018-08-08 04:12:00,12591.9942485
2018-08-08 04:13:00,12584.1915545
2018-08-08 04:14:00,12580.2902075
2018-08-08 04:15:00,12584.1915545
2018-08-08 04:16:00,12584.1915545
2018-08-08 04:17:00,12595.8955955
2018-08-08 04:18:00,12603.6982895
2018-08-08 04:19:00,12603.6982895
2018-08-08 04:20:00,12603.6982895
2018-08-08 04:21:00,12615.4023305
2018-08-08 04:22:00,12619.3036775
2018-08-08 04:23:00,12619.3036775
2018-08-08 04:24:00,12615.4023305
2018-08-08 04:25:00,12609.55031
2018-08-08 04:26:00,12607.5996365
2018-08-08 04:27:00,12619.3036775
2018-08-08 04:28:00,12611.5009835
