,XBT
2018-08-30 10:27:00,-609.35252962
2018-08-30 10:28:00,-609.35252962
2018-08-30 10:29:00,-607.25752962
2018-08-30 10:30:00,-607.25752962
2018-08-30 10:31:00,-607.25752962
2018-08-30 10:32:00,-603.06752962
2018-08-30 10:33:00,-603.06752962
2018-08-30 10:34:00,-603.06752962
2018-08-30 10:35:00,-607.25752962
2018-08-30 10:36:00,-603.06752962
2018-08-30 10:37:00,-598.87752962
2018-08-30 10:38:00,-607.25752962
2018-08-30 10:39:00,-609.35252962
2018-08-30 10:40:00,-613.54252962
2018-08-30 10:41:00,-615.63752962
2018-08-30 10:42:00,-615.63752962
2018-08-30 10:43:00,-615.63752962
2018-08-30 10:44:00,-611.44752962
2018-08-30 10:45:00,-611.44752962
2018-08-30 10:46:00,-607.25752962
2018-08-30 10:47:00,-603.06752962
2018-08-30 10:48:00,-603.06752962
2018-08-30 10:49:00,-605.16252962
2018-08-30 10:50:00,-607.25752962
2018-08-30 10:51:00,-611.44752962
2018-08-30 10:52:00,-607.25752962
2018-08-30 10:53:00,-611.44752962
2018-08-30 10:54:00,-615.63752962
2018-08-30 10:55:00,-617.73252962
2018-08-30 10:56:00,-621.92252962
2018-08-30 10:57:00,-624.01752962
2018-08-30 10:58:00,-624.01752962
2018-08-30 10:59:00,-624.01752962
2018-08-30 11:00:00,-621.92252962
2018-08-30 11:01:00,-619.82752962
2018-08-30 11:02:00,-615.63752962
2018-08-30 11:03:00,-619.82752962
2018-08-30 11:04:00,-617.73252962
2018-08-30 11:05:00,-615.63752962
2018-08-30 11:06:00,-624.01752962
2018-08-30 11:07:00,-624.01752962
2018-08-30 11:08:00,-621.92252962
2018-08-30 11:09:00,-621.92252962
2018-08-30 11:10:00,-624.01752962
2018-08-30 11:11:00,-624.01752962
2018-08-30 11:12:00,-624.01752962
2018-08-30 11:13:00,-630.30252962
2018-08-30 11:14:00,-636.58752962
2018-08-30 11:15:00,-636.58752962
2018-08-30 11:16:00,-636.58752962
2018-08-30 11:17:00,-636.58752962
2018-08-30 11:18:00,-636.58752962
2018-08-30 11:19:00,-634.49252962
