,ESX
2018-05-09 08:00:00,22094.8750443
2018-05-09 08:01:00,22104.4213063
2018-05-09 08:02:00,22104.4213063
2018-05-09 08:03:00,22104.4213063
2018-05-09 08:04:00,22094.8750443
2018-05-09 08:05:00,22094.8750443
2018-05-09 08:06:00,22085.3287823
2018-05-09 08:07:00,22085.3287823
2018-05-09 08:08:00,22085.3287823
2018-05-09 08:09:00,22094.8750443
2018-05-09 08:10:00,22085.3287823
2018-05-09 08:11:00,22085.3287823
2018-05-09 08:12:00,22085.3287823
2018-05-09 08:13:00,22085.3287823
2018-05-09 08:14:00,22085.3287823
2018-05-09 08:15:00,22085.3287823
2018-05-09 08:16:00,22094.8750443
2018-05-09 08:17:00,22104.4213063
2018-05-09 08:18:00,22104.4213063
2018-05-09 08:19:00,22094.8750443
2018-05-09 08:20:00,22094.8750443
2018-05-09 08:21:00,22094.8750443
2018-05-09 08:22:00,22094.8750443
2018-05-09 08:23:00,22094.8750443
2018-05-09 08:24:00,22094.8750443
2018-05-09 08:25:00,22094.8750443
2018-05-09 08:26:00,22104.4213063
2018-05-09 08:27:00,22104.4213063
2018-05-09 08:28:00,22104.4213063
2018-05-09 08:29:00,22104.4213063
2018-05-09 08:30:00,22104.4213063
2018-05-09 08:31:00,22104.4213063
2018-05-09 08:32:00,22123.5138303
2018-05-09 08:33:00,22113.9675683
2018-05-09 08:34:00,22123.5138303
2018-05-09 08:35:00,22133.0600923
2018-05-09 08:36:00,22133.0600923
2018-05-09 08:37:00,22133.0600923
2018-05-09 08:38:00,22133.0600923
2018-05-09 08:39:00,22123.5138303
2018-05-09 08:40:00,22133.0600923
2018-05-09 08:41:00,22123.5138303
2018-05-09 08:42:00,22142.6063543
2018-05-09 08:43:00,22142.6063543
2018-05-09 08:44:00,22142.6063543
2018-05-09 08:45:00,22142.6063543
2018-05-09 08:46:00,22152.1526163
2018-05-09 08:47:00,22152.1526163
2018-05-09 08:48:00,22142.6063543
2018-05-09 08:49:00,22142.6063543
2018-05-09 08:50:00,22142.6063543
2018-05-09 08:51:00,22142.6063543
2018-05-09 08:52:00,22142.6063543
2018-05-09 08:53:00,22133.0600923
2018-05-09 08:54:00,22152.1526163
2018-05-09 08:55:00,22161.6988783
2018-05-09 08:56:00,22161.6988783
2018-05-09 08:57:00,22161.6988783
2018-05-09 08:58:00,22152.1526163
2018-05-09 08:59:00,22142.6063543
2018-05-09 09:00:00,22142.6063543
2018-05-09 09:01:00,22152.1526163
2018-05-09 09:02:00,22152.1526163
2018-05-09 09:03:00,22152.1526163
2018-05-09 09:04:00,22142.6063543
2018-05-09 09:05:00,22142.6063543
2018-05-09 09:06:00,22161.6988783
2018-05-09 09:07:00,22152.1526163
2018-05-09 09:08:00,22161.6988783
2018-05-09 09:09:00,22152.1526163
2018-05-09 09:10:00,22152.1526163
2018-05-09 09:11:00,22152.1526163
2018-05-09 09:12:00,22152.1526163
2018-05-09 09:13:00,22152.1526163
2018-05-09 09:14:00,22152.1526163
2018-05-09 09:15:00,22152.1526163
2018-05-09 09:16:00,22152.1526163
2018-05-09 09:17:00,22152.1526163
2018-05-09 09:18:00,22171.2451403
2018-05-09 09:19:00,22161.6988783
2018-05-09 09:20:00,22161.6988783
2018-05-09 09:21:00,22171.2451403
2018-05-09 09:22:00,22161.6988783
2018-05-09 09:23:00,22152.1526163
2018-05-09 09:24:00,22133.0600923
2018-05-09 09:25:00,22133.0600923
2018-05-09 09:26:00,22133.0600923
2018-05-09 09:27:00,22133.0600923
2018-05-09 09:28:00,22133.0600923
2018-05-09 09:29:00,22123.5138303
2018-05-09 09:30:00,22133.0600923
2018-05-09 09:31:00,22133.0600923
2018-05-09 09:32:00,22113.9675683
2018-05-09 09:33:00,22113.9675683
2018-05-09 09:34:00,22123.5138303
2018-05-09 09:35:00,22142.6063543
2018-05-09 09:36:00,22152.1526163
2018-05-09 09:37:00,22152.1526163
2018-05-09 09:38:00,22152.1526163
2018-05-09 09:39:00,22152.1526163
2018-05-09 09:40:00,22171.2451403
2018-05-09 09:41:00,22171.2451403
2018-05-09 09:42:00,22171.2451403
2018-05-09 09:43:00,22180.7914023
2018-05-09 09:44:00,22171.2451403
2018-05-09 09:45:00,22171.2451403
2018-05-09 09:46:00,22171.2451403
2018-05-09 09:47:00,22180.7914023
2018-05-09 09:48:00,22190.3376643
2018-05-09 09:49:00,22190.3376643
2018-05-09 09:50:00,22180.7914023
2018-05-09 09:51:00,22180.7914023
