,BTS
2018-09-11 10:01:00,22679.8607478
2018-09-11 10:02:00,22679.8607478
2018-09-11 10:03:00,22679.8607478
2018-09-11 10:04:00,22686.0881478
2018-09-11 10:05:00,22686.0881478
2018-09-11 10:06:00,22686.0881478
2018-09-11 10:07:00,22686.0881478
2018-09-11 10:08:00,22686.0881478
2018-09-11 10:09:00,22686.0881478
2018-09-11 10:10:00,22673.6333478
2018-09-11 10:11:00,22682.9744478
2018-09-11 10:12:00,22686.0881478
2018-09-11 10:13:00,22686.0881478
2018-09-11 10:14:00,22686.0881478
2018-09-11 10:15:00,22679.8607478
2018-09-11 10:16:00,22679.8607478
2018-09-11 10:17:00,22686.0881478
2018-09-11 10:18:00,22686.0881478
2018-09-11 10:19:00,22686.0881478
2018-09-11 10:20:00,22698.5429478
2018-09-11 10:21:00,22692.3155478
2018-09-11 10:22:00,22692.3155478
2018-09-11 10:23:00,22692.3155478
2018-09-11 10:24:00,22692.3155478
2018-09-11 10:25:00,22689.2018478
2018-09-11 10:26:00,22692.3155478
2018-09-11 10:27:00,22692.3155478
2018-09-11 10:28:00,22692.3155478
2018-09-11 10:29:00,22692.3155478
2018-09-11 10:30:00,22692.3155478
2018-09-11 10:31:00,22692.3155478
2018-09-11 10:32:00,22692.3155478
2018-09-11 10:33:00,22692.3155478
2018-09-11 10:34:00,22692.3155478
2018-09-11 10:35:00,22689.2018478
2018-09-11 10:36:00,22692.3155478
2018-09-11 10:37:00,22692.3155478
2018-09-11 10:38:00,22692.3155478
2018-09-11 10:39:00,22689.2018478
2018-09-11 10:40:00,22689.2018478
2018-09-11 10:41:00,22689.2018478
2018-09-11 10:42:00,22686.0881478
2018-09-11 10:43:00,22686.0881478
2018-09-11 10:44:00,22686.0881478
2018-09-11 10:45:00,22692.3155478
2018-09-11 10:46:00,22692.3155478
2018-09-11 10:47:00,22692.3155478
2018-09-11 10:48:00,22692.3155478
2018-09-11 10:49:00,22692.3155478
2018-09-11 10:50:00,22689.2018478
2018-09-11 10:51:00,22689.2018478
2018-09-11 10:52:00,22689.2018478
2018-09-11 10:53:00,22689.2018478
2018-09-11 10:54:00,22686.0881478
2018-09-11 10:55:00,22686.0881478
2018-09-11 10:56:00,22686.0881478
2018-09-11 10:57:00,22686.0881478
2018-09-11 10:58:00,22686.0881478
2018-09-11 10:59:00,22686.0881478
2018-09-11 11:00:00,22686.0881478
2018-09-11 11:01:00,22686.0881478
2018-09-11 11:02:00,22686.0881478
2018-09-11 11:03:00,22686.0881478
2018-09-11 11:04:00,22686.0881478
2018-09-11 11:05:00,22686.0881478
2018-09-11 11:06:00,22686.0881478
2018-09-11 11:07:00,22686.0881478
2018-09-11 11:08:00,22686.0881478
2018-09-11 11:09:00,22686.0881478
2018-09-11 11:10:00,22686.0881478
2018-09-11 11:11:00,22686.0881478
