,RB11
2018-07-23 03:59:00,-2205517.91418
2018-07-23 04:00:00,-2205523.29438
2018-07-23 04:01:00,-2205474.87258
2018-07-23 04:02:00,-2205511.38108
2018-07-23 04:03:00,-2205509.45958
2018-07-23 04:04:00,-2205504.46368
2018-07-23 04:05:00,-2205446.43438
2018-07-23 04:06:00,-2205493.31898
2018-07-23 04:07:00,-2205491.78178
2018-07-23 04:08:00,-2205492.16608
2018-07-23 04:09:00,-2205488.70738
2018-07-23 04:10:00,-2205495.62478
2018-07-23 04:11:00,-2205508.69098
2018-07-23 04:12:00,-2205500.62068
2018-07-23 04:13:00,-2205507.92238
2018-07-23 04:14:00,-2205508.69098
2018-07-23 04:15:00,-2205522.14148
2018-07-23 04:16:00,-2205522.91008
2018-07-23 04:17:00,-2205516.37698
2018-07-23 04:18:00,-2205511.76538
2018-07-23 04:19:00,-2205509.45958
2018-07-23 04:20:00,-2205508.30668
2018-07-23 04:21:00,-2205489.47598
2018-07-23 04:22:00,-2205482.17428
2018-07-23 04:23:00,-2205480.63708
2018-07-23 04:24:00,-2205492.16608
2018-07-23 04:25:00,-2205475.64118
2018-07-23 04:26:00,-2205475.64118
2018-07-23 04:27:00,-2205482.55858
2018-07-23 04:28:00,-2205477.17838
2018-07-23 04:29:00,-2205478.33128
2018-07-23 04:30:00,-2205469.10808
2018-07-23 04:31:00,-2205463.34358
2018-07-23 04:32:00,-2205463.34358
2018-07-23 04:33:00,-2205467.95518
2018-07-23 04:34:00,-2205453.35178
2018-07-23 04:35:00,-2205444.12858
2018-07-23 04:36:00,-2205455.27328
2018-07-23 04:37:00,-2205456.81048
2018-07-23 04:38:00,-2205456.04188
2018-07-23 04:39:00,-2205447.20298
2018-07-23 04:40:00,-2205447.20298
2018-07-23 04:41:00,-2205447.97158
2018-07-23 04:42:00,-2205456.04188
2018-07-23 04:43:00,-2205459.88488
2018-07-23 04:44:00,-2205509.84388
2018-07-23 04:45:00,-2205481.40568
2018-07-23 04:46:00,-2205476.40978
2018-07-23 04:47:00,-2205476.79408
2018-07-23 04:48:00,-2205518.68278
2018-07-23 04:49:00,-2205521.37288
2018-07-23 04:50:00,-2205460.65348
2018-07-23 04:51:00,-2205465.26508
2018-07-23 04:52:00,-2205469.87668
2018-07-23 04:53:00,-2205457.57908
2018-07-23 04:54:00,-2205459.50058
2018-07-23 04:55:00,-2205461.42208
2018-07-23 04:56:00,-2205462.57498
2018-07-23 04:57:00,-2205460.26918
2018-07-23 04:58:00,-2205452.96748
2018-07-23 04:59:00,-2205474.87258
2018-07-23 05:00:00,-2205470.64528
2018-07-23 05:01:00,-2205454.88898
2018-07-23 05:02:00,-2205459.88488
2018-07-23 05:03:00,-2205455.27328
2018-07-23 05:04:00,-2205462.57498
2018-07-23 05:05:00,-2205457.19478
2018-07-23 05:06:00,-2205451.81458
2018-07-23 05:07:00,-2205445.28148
2018-07-23 05:08:00,-2205393.78528
2018-07-23 05:09:00,-2205400.70268
2018-07-23 05:10:00,-2205394.93818
2018-07-23 05:11:00,-2205403.39278
2018-07-23 05:12:00,-2205411.84738
2018-07-23 05:13:00,-2205408.00438
2018-07-23 05:14:00,-2205419.14908
2018-07-23 05:15:00,-2205418.38048
2018-07-23 05:16:00,-2205414.15318
2018-07-23 05:17:00,-2205410.69448
2018-07-23 05:18:00,-2205407.23578
2018-07-23 05:19:00,-2205406.46718
2018-07-23 05:20:00,-2205396.09108
2018-07-23 05:21:00,-2205388.78938
2018-07-23 05:22:00,-2205385.71498
2018-07-23 05:23:00,-2205378.79758
2018-07-23 05:24:00,-2205393.40098
2018-07-23 05:25:00,-2205389.94228
2018-07-23 05:26:00,-2205403.77708
2018-07-23 05:27:00,-2205397.62828
2018-07-23 05:28:00,-2205394.93818
2018-07-23 05:29:00,-2205357.27678
2018-07-23 05:30:00,-2205389.94228
2018-07-23 05:31:00,-2205398.78118
2018-07-23 05:32:00,-2205396.09108
2018-07-23 05:33:00,-2205389.17368
2018-07-23 05:34:00,-2205380.33478
2018-07-23 05:35:00,-2205358.04538
2018-07-23 05:36:00,-2205354.97098
2018-07-23 05:37:00,-2205354.20238
2018-07-23 05:38:00,-2205360.35118
2018-07-23 05:39:00,-2205358.81398
2018-07-23 05:40:00,-2205367.26858
2018-07-23 05:41:00,-2205372.64878
2018-07-23 05:42:00,-2205370.72728
2018-07-23 05:43:00,-2205372.64878
2018-07-23 05:44:00,-2205374.18598
2018-07-23 05:45:00,-2205376.87608
2018-07-23 05:46:00,-2205384.17778
2018-07-23 05:47:00,-2205389.17368
2018-07-23 05:48:00,-2205391.47948
2018-07-23 05:49:00,-2205390.32658
2018-07-23 05:50:00,-2205388.78938
2018-07-23 05:51:00,-2205384.94638
2018-07-23 05:52:00,-2205379.95048
2018-07-23 05:53:00,-2205382.64058
2018-07-23 05:54:00,-2205378.41328
2018-07-23 05:55:00,-2205374.95458
2018-07-23 05:56:00,-2205371.49588
2018-07-23 05:57:00,-2205369.19008
2018-07-23 05:58:00,-2205370.34298
2018-07-23 05:59:00,-2205369.95868
2018-07-23 06:00:00,-2205368.80578
2018-07-23 06:01:00,-2205438.74838
2018-07-23 06:02:00,-2205438.74838
2018-07-23 06:03:00,-2205432.98388
2018-07-23 06:04:00,-2205373.80168
2018-07-23 06:05:00,-2205364.57848
2018-07-23 06:06:00,-2205367.26858
2018-07-23 06:07:00,-2205346.51638
2018-07-23 06:08:00,-2205367.65288
2018-07-23 06:09:00,-2205317.69388
2018-07-23 06:10:00,-2205385.71498
2018-07-23 06:11:00,-2205381.10338
2018-07-23 06:12:00,-2205383.40918
2018-07-23 06:13:00,-2205387.25218
2018-07-23 06:14:00,-2205382.25628
2018-07-23 06:15:00,-2205383.40918
2018-07-23 06:16:00,-2205381.10338
2018-07-23 06:17:00,-2205380.71908
2018-07-23 06:18:00,-2205435.67398
2018-07-23 06:19:00,-2205384.56208
2018-07-23 06:20:00,-2205455.27328
2018-07-23 06:21:00,-2205392.63238
2018-07-23 06:22:00,-2205398.39688
2018-07-23 06:23:00,-2205413.76888
2018-07-23 06:24:00,-2205412.61598
2018-07-23 06:25:00,-2205416.45898
2018-07-23 06:26:00,-2205405.69858
2018-07-23 06:27:00,-2205413.00028
2018-07-23 06:28:00,-2205409.54158
2018-07-23 06:29:00,-2205363.80988
2018-07-23 06:30:00,-2205426.06648
2018-07-23 06:31:00,-2205423.76068
2018-07-23 06:32:00,-2205474.87258
2018-07-23 06:33:00,-2205475.64118
2018-07-23 06:34:00,-2205476.02548
2018-07-23 06:35:00,-2205475.64118
2018-07-23 06:36:00,-2205476.79408
2018-07-23 06:37:00,-2205416.07468
2018-07-23 06:38:00,-2205473.71968
2018-07-23 06:39:00,-2205412.61598
2018-07-23 06:40:00,-2205478.33128
2018-07-23 06:41:00,-2205474.10398
2018-07-23 06:42:00,-2205353.43378
2018-07-23 06:43:00,-2205404.16138
2018-07-23 06:44:00,-2205410.31018
2018-07-23 06:45:00,-2205467.18658
2018-07-23 06:46:00,-2205398.78118
2018-07-23 06:47:00,-2205356.89248
2018-07-23 06:48:00,-2205472.56678
2018-07-23 06:49:00,-2205474.48828
2018-07-23 06:50:00,-2205472.95108
2018-07-23 06:51:00,-2205413.00028
2018-07-23 06:52:00,-2205459.11628
2018-07-23 06:53:00,-2205462.19068
2018-07-23 06:54:00,-2205462.19068
