,CGB
2018-07-16 06:48:00,15904.0561764
2018-07-16 06:49:00,15904.0561764
2018-07-16 06:50:00,15898.8640104
2018-07-16 06:51:00,15898.8640104
2018-07-16 06:52:00,15898.8640104
2018-07-16 06:53:00,15919.6326744
2018-07-16 06:54:00,15914.4405084
2018-07-16 06:55:00,15914.4405084
2018-07-16 06:56:00,15919.6326744
2018-07-16 06:57:00,15919.6326744
2018-07-16 06:58:00,15914.4405084
2018-07-16 06:59:00,15898.8640104
2018-07-16 07:00:00,15904.0561764
2018-07-16 07:01:00,15904.0561764
2018-07-16 07:02:00,15896.2679274
2018-07-16 07:03:00,15898.8640104
2018-07-16 07:04:00,15893.6718444
2018-07-16 07:05:00,15896.2679274
2018-07-16 07:06:00,15888.4796784
2018-07-16 07:07:00,15888.4796784
2018-07-16 07:08:00,15888.4796784
2018-07-16 07:09:00,15888.4796784
2018-07-16 07:10:00,15888.4796784
2018-07-16 07:11:00,15888.4796784
2018-07-16 07:12:00,15888.4796784
2018-07-16 07:13:00,15878.0953464
2018-07-16 07:14:00,15883.2875124
2018-07-16 07:15:00,15883.2875124
2018-07-16 07:16:00,15883.2875124
2018-07-16 07:17:00,15883.2875124
2018-07-16 07:18:00,15883.2875124
2018-07-16 07:19:00,15878.0953464
2018-07-16 07:20:00,15893.6718444
2018-07-16 07:21:00,15909.2483424
2018-07-16 07:22:00,15888.4796784
2018-07-16 07:23:00,15904.0561764
2018-07-16 07:24:00,15904.0561764
2018-07-16 07:25:00,15898.8640104
2018-07-16 07:26:00,15901.4600934
2018-07-16 07:27:00,15904.0561764
2018-07-16 07:28:00,15893.6718444
2018-07-16 07:29:00,15893.6718444
2018-07-16 07:30:00,15880.6914294
2018-07-16 07:31:00,15883.2875124
2018-07-16 07:32:00,15893.6718444
2018-07-16 07:33:00,15872.9031804
2018-07-16 07:34:00,15867.7110144
2018-07-16 07:35:00,15878.0953464
2018-07-16 07:36:00,15867.7110144
2018-07-16 07:37:00,15872.9031804
2018-07-16 07:38:00,15883.2875124
2018-07-16 07:39:00,15883.2875124
2018-07-16 07:40:00,15898.8640104
2018-07-16 07:41:00,15898.8640104
2018-07-16 07:42:00,15893.6718444
2018-07-16 07:43:00,15893.6718444
2018-07-16 07:44:00,15893.6718444
2018-07-16 07:45:00,15898.8640104
2018-07-16 07:46:00,15904.0561764
2018-07-16 07:47:00,15893.6718444
2018-07-16 07:48:00,15893.6718444
2018-07-16 07:49:00,15893.6718444
2018-07-16 07:50:00,15898.8640104
2018-07-16 07:51:00,15919.6326744
2018-07-16 07:52:00,15924.8248404
2018-07-16 07:53:00,15919.6326744
2018-07-16 07:54:00,15924.8248404
2018-07-16 07:55:00,15914.4405084
2018-07-16 07:56:00,15924.8248404
2018-07-16 07:57:00,15919.6326744
2018-07-16 07:58:00,15919.6326744
2018-07-16 07:59:00,15914.4405084
2018-07-16 08:00:00,15909.2483424
2018-07-16 08:01:00,15909.2483424
2018-07-16 08:02:00,15904.0561764
2018-07-16 08:03:00,15904.0561764
2018-07-16 08:04:00,15904.0561764
2018-07-16 08:05:00,15898.8640104
2018-07-16 08:06:00,15893.6718444
2018-07-16 08:07:00,15888.4796784
2018-07-16 08:08:00,15893.6718444
2018-07-16 08:09:00,15885.8835954
2018-07-16 08:10:00,15883.2875124
2018-07-16 08:11:00,15888.4796784
2018-07-16 08:12:00,15880.6914294
2018-07-16 08:13:00,15878.0953464
2018-07-16 08:14:00,15878.0953464
2018-07-16 08:15:00,15862.5188484
2018-07-16 08:16:00,15852.1345164
2018-07-16 08:17:00,15846.9423504
2018-07-16 08:18:00,15836.5580184
2018-07-16 08:19:00,15836.5580184
2018-07-16 08:20:00,15831.3658524
2018-07-16 08:21:00,15831.3658524
2018-07-16 08:22:00,15818.3854374
2018-07-16 08:23:00,15815.7893544
2018-07-16 08:24:00,15810.5971884
2018-07-16 08:25:00,15805.4050224
2018-07-16 08:26:00,15805.4050224
2018-07-16 08:27:00,15810.5971884
2018-07-16 08:28:00,15810.5971884
2018-07-16 08:29:00,15810.5971884
2018-07-16 08:30:00,15818.3854374
2018-07-16 08:31:00,15810.5971884
2018-07-16 08:32:00,15805.4050224
2018-07-16 08:33:00,15815.7893544
2018-07-16 08:34:00,15820.9815204
2018-07-16 08:35:00,15815.7893544
2018-07-16 08:36:00,15810.5971884
2018-07-16 08:37:00,15815.7893544
2018-07-16 08:38:00,15820.9815204
2018-07-16 08:39:00,15815.7893544
2018-07-16 08:40:00,15820.9815204
2018-07-16 08:41:00,15823.5776034
2018-07-16 08:42:00,15815.7893544
2018-07-16 08:43:00,15810.5971884
2018-07-16 08:44:00,15815.7893544
2018-07-16 08:45:00,15820.9815204
2018-07-16 08:46:00,15815.7893544
2018-07-16 08:47:00,15815.7893544
2018-07-16 08:48:00,15815.7893544
2018-07-16 08:49:00,15815.7893544
2018-07-16 08:50:00,15805.4050224
2018-07-16 08:51:00,15802.8089394
2018-07-16 08:52:00,15805.4050224
2018-07-16 08:53:00,15810.5971884
2018-07-16 08:54:00,15808.0011054
2018-07-16 08:55:00,15805.4050224
2018-07-16 08:56:00,15795.0206904
2018-07-16 08:57:00,15784.6363584
2018-07-16 08:58:00,15782.0402754
2018-07-16 08:59:00,15784.6363584
2018-07-16 09:00:00,15779.4441924
2018-07-16 09:01:00,15779.4441924
2018-07-16 09:02:00,15774.2520264
2018-07-16 09:03:00,15779.4441924
2018-07-16 09:04:00,15763.8676944
2018-07-16 09:05:00,15763.8676944
2018-07-16 09:06:00,15763.8676944
2018-07-16 09:07:00,15769.0598604
2018-07-16 09:08:00,15763.8676944
2018-07-16 09:09:00,15748.2911964
2018-07-16 09:10:00,15727.5225324
2018-07-16 09:11:00,15743.0990304
2018-07-16 09:12:00,15727.5225324
2018-07-16 09:13:00,15722.3303664
