,SXF
2018-07-23 06:01:00,18120.0078822
2018-07-23 06:02:00,18120.0078822
2018-07-23 06:03:00,18120.0078822
2018-07-23 06:04:00,18120.0078822
2018-07-23 06:05:00,18123.5563822
2018-07-23 06:06:00,18123.5563822
2018-07-23 06:07:00,18123.5563822
2018-07-23 06:08:00,18123.5563822
2018-07-23 06:09:00,18123.5563822
2018-07-23 06:10:00,18123.5563822
2018-07-23 06:11:00,18123.5563822
2018-07-23 06:12:00,18123.5563822
2018-07-23 06:13:00,18123.5563822
2018-07-23 06:14:00,18123.5563822
2018-07-23 06:15:00,18123.5563822
2018-07-23 06:16:00,18123.5563822
2018-07-23 06:17:00,18123.5563822
2018-07-23 06:18:00,18125.3306322
2018-07-23 06:19:00,18125.3306322
2018-07-23 06:20:00,18125.3306322
2018-07-23 06:21:00,18125.3306322
2018-07-23 06:22:00,18121.7821322
2018-07-23 06:23:00,18121.7821322
2018-07-23 06:24:00,18121.7821322
2018-07-23 06:25:00,18121.7821322
2018-07-23 06:26:00,18121.7821322
2018-07-23 06:27:00,18121.7821322
2018-07-23 06:28:00,18121.7821322
2018-07-23 06:29:00,18121.7821322
2018-07-23 06:30:00,18118.2336322
2018-07-23 06:31:00,18118.2336322
2018-07-23 06:32:00,18118.2336322
2018-07-23 06:33:00,18121.7821322
2018-07-23 06:34:00,18121.7821322
2018-07-23 06:35:00,18121.7821322
2018-07-23 06:36:00,18121.7821322
2018-07-23 06:37:00,18121.7821322
2018-07-23 06:38:00,18121.7821322
2018-07-23 06:39:00,18121.7821322
2018-07-23 06:40:00,18121.7821322
2018-07-23 06:41:00,18121.7821322
2018-07-23 06:42:00,18121.7821322
2018-07-23 06:43:00,18121.7821322
2018-07-23 06:44:00,18121.7821322
2018-07-23 06:45:00,18121.7821322
2018-07-23 06:46:00,18121.7821322
2018-07-23 06:47:00,18121.7821322
2018-07-23 06:48:00,18121.7821322
2018-07-23 06:49:00,18121.7821322
2018-07-23 06:50:00,18121.7821322
2018-07-23 06:51:00,18127.1048822
2018-07-23 06:52:00,18125.3306322
2018-07-23 06:53:00,18125.3306322
2018-07-23 06:54:00,18125.3306322
2018-07-23 06:55:00,18125.3306322
2018-07-23 06:56:00,18125.3306322
2018-07-23 06:57:00,18125.3306322
2018-07-23 06:58:00,18125.3306322
2018-07-23 06:59:00,18125.3306322
2018-07-23 07:00:00,18132.4276322
2018-07-23 07:01:00,18132.4276322
2018-07-23 07:02:00,18132.4276322
2018-07-23 07:03:00,18148.3958822
2018-07-23 07:04:00,18148.3958822
2018-07-23 07:05:00,18150.1701322
2018-07-23 07:06:00,18150.1701322
2018-07-23 07:07:00,18150.1701322
2018-07-23 07:08:00,18150.1701322
2018-07-23 07:09:00,18150.1701322
2018-07-23 07:10:00,18150.1701322
2018-07-23 07:11:00,18150.1701322
2018-07-23 07:12:00,18150.1701322
2018-07-23 07:13:00,18150.1701322
2018-07-23 07:14:00,18150.1701322
2018-07-23 07:15:00,18151.9443822
2018-07-23 07:16:00,18151.9443822
2018-07-23 07:17:00,18151.9443822
2018-07-23 07:18:00,18151.9443822
2018-07-23 07:19:00,18151.9443822
2018-07-23 07:20:00,18151.9443822
